"","pair","perc_profitability","avg_profit","total_profit","avg_holding","count"
"41","ALBK.NS-ANDHRABANK.NS",0.444444444444444,-14565.3572723566,-131088.21545121,35.7777777777778,9
"42","ALBK.NS-BANKBARODA.NS",0.692307692307692,1639.96932226464,21319.6011894403,16.3076923076923,13
"43","ALBK.NS-BANKINDIA.NS",0.4,-19242.6457506521,-192426.457506521,44.2,10
"44","ALBK.NS-CANBK.NS",0.619047619047619,-11905.0835221567,-250006.753965292,23.2380952380952,21
"45","ALBK.NS-IDBI.NS",0.555555555555556,-13399.3594221291,-241188.469598324,13.2222222222222,18
"46","ALBK.NS-IFCI.NS",0.538461538461538,4998.84330388667,64984.9629505267,31.6153846153846,13
"47","ALBK.NS-INDIANB.NS",0.777777777777778,18194.6005797297,327502.810435134,39.1111111111111,18
"48","ALBK.NS-ORIENTBANK.NS",0.642857142857143,9742.45605486936,136394.384768171,63.5714285714286,14
"49","ALBK.NS-PFC.NS",0.9,48715.559874907,974311.19749814,34.25,20
"50","ALBK.NS-PNB.NS",0.727272727272727,14919.5262948379,164114.789243217,34.9090909090909,11
"51","ALBK.NS-RECLTD.NS",0.833333333333333,15407.1561409936,184885.873691923,48.9166666666667,12
"52","ALBK.NS-SBIN.NS",0.428571428571429,-30351.6081824603,-212461.257277222,50.4285714285714,7
"53","ALBK.NS-SOUTHBANK.NS",0.666666666666667,-1554.24799078912,-23313.7198618369,40.6666666666667,15
"54","ALBK.NS-SYNDIBANK.NS",0.5,-10613.779331014,-106137.79331014,26.4,10
"55","ALBK.NS-UNIONBANK.NS",0.636363636363636,1489.01083237793,16379.1191561573,29.2727272727273,11
"56","AMARAJABAT.NS-BOSCHLTD.NS",0.333333333333333,-29459.4616172774,-265135.154555496,21.3333333333333,9
"57","AMARAJABAT.NS-EXIDEIND.NS",0.642857142857143,-2781.6427393251,-38942.9983505513,20,14
"58","AMARAJABAT.NS-MOTHERSUMI.NS",0.5,-6123.53343991938,-85729.4681588713,30.2857142857143,14
"59","AMBUJACEM.NS-DALMIABHA.NS",0,-132385.042253039,-529540.169012158,39.5,4
"60","AMBUJACEM.NS-GRASIM.NS",0.555555555555556,-5085.72845142585,-45771.5560628326,41.6666666666667,9
"61","AMBUJACEM.NS-INDIACEM.NS",0.636363636363636,-2755.71552113018,-30312.870732432,28.1818181818182,11
"62","AMBUJACEM.NS-SHREECEM.NS",0.666666666666667,5586.72179942656,117321.157787958,25.6190476190476,21
"63","AMBUJACEM.NS-ULTRACEMCO.NS",0.666666666666667,1268.15827116285,19022.3740674427,54.7333333333333,15
"64","ANDHRABANK.NS-BANKBARODA.NS",0.555555555555556,-2537.1033655153,-22833.9302896377,22.1111111111111,9
"65","ANDHRABANK.NS-BANKINDIA.NS",0.166666666666667,-54816.7092422789,-328900.255453673,59,6
"66","ANDHRABANK.NS-CANBK.NS",0.642857142857143,2127.68125059146,29787.5375082804,30.2142857142857,14
"67","ANDHRABANK.NS-IDBI.NS",0.666666666666667,6537.43860436499,98061.5790654748,21.3333333333333,15
