"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg","Alpha","beta","alpha.monthly","beta.monthly"
"CASTROLIND.NS",0.0155361993264723,0.264903407227265,-0.204830980087224,-0.226306760991204,24,32,-0.0267541795877898,0.7490722858758,-0.383138302433353,1.48800299631198
"JISLJALEQS.NS",0.0163625754915308,0.44783043254196,-0.119317590951662,-0.107717341950374,32,28,-0.0733944578233664,1.66685110417408,0.111928105301309,1.02743091399851
"CEATLTD.NS",0.305660307563071,0.517414710126801,0.455850363527527,0.590012748191097,32,28,0.265628970046365,1.12508099204461,0.23403673232092,0.494145849851088
"JSWSTEEL.NS",0.269352889931636,0.266039242527589,0.750100865490411,0.866173918722189,35,25,0.169904413046753,1.21001401295617,0.301309990120113,0.394470317428886
"JUBLFOOD.NS",0.123338557312494,0.404134220342019,0.132485522779791,0.138077627163978,31,29,0.0605189957037642,1.07071805954317,0.161976717092819,1.99726162978206
"CHOLAFIN.NS",0.327376492917941,0.326480553849417,0.788959299485467,0.943536386665383,31,29,0.300556708635125,0.692035063339072,-0.0925741876799308,1.17618770012681
"GLENMARK.NS",0.0479178477011765,0.296407026879945,-0.0738132843421534,-0.0647190528480286,32,28,0.004926431216214,0.717103359725335,-0.463239988291813,0.707358910803432
"HDIL.NS",-0.164232224534685,0.607923975778301,-0.384964004902662,-0.378669305768985,26,34,-0.252355116588717,2.18402591753139,-0.648127637940859,3.06086302586088
"DALMIABHA.NS",0.574911003696128,0.497582013709235,1.01513793891677,1.25271073760293,38,22,0.496591393261346,1.24476064409372,-0.0511292474886707,3.00088126750028
"IBULHSGFIN.NS",0.294738589474787,0.402115064948994,0.559397011514705,0.547577918691363,36,24,0.206119821422822,1.24837793394611,-0.0182018905401157,2.16844104140638
"INDIACEM.NS",0.0973143318566231,0.489592490123048,0.0562053310752969,0.0574817725382269,30,30,-0.0497127561415555,2.1556207431178,-0.30290430718702,3.11266704833449
"JPASSOCIAT.NS",-0.408244065771928,0.825457182631162,-0.579122333281347,-0.585604054525323,23,37,-0.399122323784476,2.10005916971953,0.0745549919729647,4.04263550915807
"MFSL.NS",0.0967426995515569,0.364208380012997,0.0739853259096264,0.103800593927674,14,19,0.0269215142814132,0.822323498062065,0.0299647583702452,0.133406501296428
"MOTHERSUMI.NS",0.208954321199234,0.317796893088416,0.43788249781045,0.408708211687428,35,25,0.138869797846838,1.21815449840042,0.312124147727002,0.982009422770367
"FORTIS.NS",0.062208358415096,0.337131178851986,-0.0225083466561059,-0.0232494623543715,31,29,0.0269544094204759,0.959087024035561,-0.0851609994053401,0.330157123110407
"GODFRYPHLP.NS",0.109880557805492,0.479582128124495,0.0835809585002069,0.0925315404514444,28,32,0.0723739819294623,1.17505175971104,-0.501508413872084,1.83592930572737
"GSFC.NS",0.151176035734811,0.459735082075929,0.177013708656005,0.215623573103125,31,29,0.0932349248374613,1.07835542287688,0.149185961794478,2.70816824058902
"KTKBANK.NS",0.037524035287208,0.327515642705128,-0.0985375486297799,-0.0904954948636888,32,28,-0.0714103354389917,1.45584108817655,-0.250135348383288,1.82993045318252
"HCLTECH.NS",0.149904293832745,0.227757135838705,0.351724083991811,0.351290309599317,34,26,0.117029586777593,0.558287686226973,0.0759867702082567,0.193941079743012
"IBREALEST.NS",0.043731394794644,0.59079406163598,-0.0441189760615678,-0.046389142409486,28,32,-0.0351388248150694,2.03273350123396,0.385498163992036,2.00373648465858
"M&M.NS",0.112306345835614,0.237070494084589,0.179312580177808,0.187026176915485,32,28,0.0235450889970844,0.97265260595417,-0.187272689536772,1.54011363063274
"IDFC.NS",-0.18447072489404,0.530695895314168,-0.479120624441223,-0.378164787838679,30,30,-0.245158838868578,1.43409786461523,-0.291928641896841,1.50571230601693
"IFCI.NS",-0.0890773580009725,0.445073478102004,-0.356961242749762,-0.335132521171932,29,31,-0.196683992320822,1.68950244796098,-0.0988551207932732,1.39892145066959
"NCC.NS",0.257511266964138,0.600937022548222,0.312369909097748,0.31875678237877,33,27,0.178019043184178,1.84152112568249,0.158871984329426,1.46032654203762
"NTPC.NS",0.036721546071492,0.24329540708179,-0.135946165949064,-0.158957870322424,27,33,-0.0400360826254027,0.832589299004682,0.181360876144133,-0.0982219099501055
"IRB.NS",0.0951036195771866,0.427587994250862,0.0591854683952165,0.0672015633464037,30,30,-0.00997677169771378,1.63116944707373,-0.384332724921538,2.40096153818632
